eventID,parentEventID,samplingProtocol,year,month,day,eventDate,habitat,eventRemarks,locationID,country,countryCode,stateProvince,county,locality,decimalLongitude,decimalLatitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol
LiloanMPA:S16:2016-03:physicochemical,LiloanMPA:S16:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S16,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005278,10.396944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S17:2016-03:physicochemical,LiloanMPA:S17:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S17,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.391944,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S18:2016-03:physicochemical,LiloanMPA:S18:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S18,Philippines,PH,Cebu,Liloan,Kadurong,124.012240,10.392952,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S19:2016-03:physicochemical,LiloanMPA:S19:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S19,Philippines,PH,Cebu,Liloan,Kadurong,124.010278,10.394167,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S20:2016-03:physicochemical,LiloanMPA:S20:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S20,Philippines,PH,Cebu,Liloan,Kadurong,124.010278,10.395278,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S01:2015-03:phytoplankton,LiloanMPA:S01:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S01,Philippines,PH,Cebu,Liloan,Poblacion,124.005042,10.402056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S02:2015-03:phytoplankton,LiloanMPA:S02:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S02,Philippines,PH,Cebu,Liloan,Poblacion,124.008306,10.402750,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S03:2015-03:phytoplankton,LiloanMPA:S03:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S03,Philippines,PH,Cebu,Liloan,Poblacion,124.005500,10.406444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S04:2015-03:phytoplankton,LiloanMPA:S04:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S04,Philippines,PH,Cebu,Liloan,Poblacion,124.004774,10.401890,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S05:2015-03:phytoplankton,LiloanMPA:S05:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S05,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.008201,10.397637,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S06:2015-03:phytoplankton,LiloanMPA:S06:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S06,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.006449,10.397137,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S07:2015-03:phytoplankton,LiloanMPA:S07:2015-03,Water sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S07,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.392639,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
